temperature,hometime,workload,earlymeeting,food_cate,food
-1.5977966785430908,6,Normal,0,japanese,donkatsu
-1.7663495540618896,6,Normal,1,korean,bibimbap
-1.7004995346069336,6,High,0,korean,cold noodles
0.06454062461853027,8,Normal,0,indian,curry rice
-1.1810755252838134,6,Normal,0,korean,soybean paste stew
1.9010664463043212,0,No work,0,japanese,sushi
-2.91539273262024,0,No work,0,western,pasta
-1.9949477195739749,6,Normal,1,western,pasta
0.012248706817626956,9,Normal,0,vietnam,banh mi thit
-2.191636323928833,6,Normal,0,chinese,black bean sauce noodle
-1.700063371658325,6,Normal,0,korean,cold noodles
0.09794349670410156,6,Normal,0,chinese,black bean sauce noodle
-0.5764071941375732,0,No work,0,korean,korean bbq
-1.85621829032898,0,No work,0,korean,korean bbq
0.08919248580932618,6,Low,0,indian,curry rice
-0.07014317512512208,6,Low,0,indian,curry rice
-1.7361949443817142,6,Normal,0,korean,cold noodles
0.20915353298187256,6,Normal,0,korean,bibimbap
-0.8145539164543152,7,Low,0,western,fried chicken
-2.609615755081177,0,No work,0,western,pasta
-1.7117160320281983,0,No work,0,korean,kimchi stew
-2.095895195007324,7,Normal,0,vietnam,pho
0.4014197111129761,6,Normal,0,japanese,sushi
-0.5920864224433899,6,Normal,0,western,pasta
-0.251704478263855,7,High,0,mexican,taco
-1.7735528945922852,6,Normal,1,western,pasta
-0.5526630640029907,0,No work,0,korean,kimchi stew
-0.2200786590576172,0,No work,0,chinese,hotpot(huoguo)
-3.710775136947632,6,Normal,0,chinese,black bean sauce noodle
-1.7014166355133058,6,Normal,1,korean,cold noodles
-0.278220009803772,6,High,1,japanese,sushi
-4.2719619274139395,8,Normal,1,chinese,black bean sauce noodle
0.553130030632019,6,Low,0,indian,curry rice
3.522718572616577,0,No work,0,japanese,donkatsu
1.7844171047210695,0,No work,0,korean,cold noodles
0.8650965809822083,7,High,0,japanese,sushi
-1.3048079013824463,10,Normal,0,chinese,fried rice
3.7298952579498295,6,Normal,1,japanese,sushi
0.09119105339050293,9,Normal,0,chinese,black bean sauce noodle
3.8680881023406974,8,Normal,1,japanese,sushi
-0.8734500408172607,0,No work,0,western,fried chicken
-1.0449409008026125,0,No work,0,western,pasta
1.0086400032043457,6,Normal,1,japanese,donkatsu
-3.1154846668243414,7,Normal,0,western,pasta
-1.7115395069122314,6,Normal,0,japanese,sushi
0.4184889316558838,6,High,0,indian,curry rice
1.6547838687896732,6,Normal,0,vietnam,pho
1.2208190441131592,0,No work,0,korean,cold noodles
-0.2592604398727417,0,No work,0,japanese,donkatsu
0.8289366126060487,6,Normal,0,chinese,fried rice
0.7005129456520081,6,Normal,0,western,pasta
-0.21226227283477786,6,Normal,0,korean,soybean paste stew
-0.12563650608062746,6,Normal,0,chinese,black bean sauce noodle
-0.061964583396911625,6,Low,0,western,fried chicken
0.88747718334198,0,No work,0,western,hotdog
3.978047513961792,0,No work,0,chinese,fried rice
3.8170028209686278,8,Normal,0,korean,cold noodles
4.6967444896698,9,High,0,western,hamburger
-1.0748989582061768,8,Normal,0,korean,cold noodles
6.928476715087892,6,Normal,1,korean,bibimbap
7.724766349792482,7,Low,1,chinese,black bean sauce noodle
9.520513725280765,0,No work,0,japanese,donkatsu
7.381861591339113,0,No work,0,korean,cold noodles
6.6750312805175795,10,Normal,0,japanese,sushi
7.871279335021972,9,Normal,0,western,pasta
10.319111061096194,7,High,0,vietnam,pho
5.011497354507448,7,Normal,0,western,pasta
8.119102287292481,7,High,1,indian,curry rice
8.688446998596191,0,No work,0,vietnam,banh mi thit
6.484102344512941,0,No work,0,western,pasta
7.00701208114624,6,Normal,0,chinese,fried rice
5.6513369560241715,6,High,0,chinese,black bean sauce noodle
5.8505331039428725,6,High,0,western,pasta
7.1055268287658695,6,High,0,korean,bibimbap
6.75825242996216,7,Normal,1,chinese,black bean sauce noodle
7.628211975097656,0,No work,0,vietnam,banh mi thit
5.559822845458986,0,No work,0,chinese,black bean sauce noodle
7.91809196472168,8,Low,0,korean,kimchi stew
9.294523811340332,8,Normal,1,chinese,fried rice
7.1969488143920906,6,Normal,0,korean,cold noodles
5.4496002197265625,6,Normal,0,chinese,black bean sauce noodle
8.842065620422364,6,Normal,1,chinese,black bean sauce noodle
5.36221399307251,0,No work,0,korean,cold noodles
5.826246166229247,0,No work,0,japanese,sushi
6.067802333831788,6,Low,0,chinese,hotpot(huoguo)
7.130579376220704,7,Normal,0,japanese,donkatsu
7.448698806762697,10,Normal,0,japanese,sushi
8.36409854888916,6,High,1,korean,kimchi stew
7.910705375671388,6,Normal,0,indian,curry rice
6.078118610382082,0,No work,0,korean,bibimbap
10.937053298950195,0,No work,0,western,pasta
9.617644786834717,6,Low,0,indian,curry rice
9.751189041137696,6,Low,0,chinese,fried rice
9.315788555145264,6,Low,0,chinese,black bean sauce noodle
13.406826782226565,7,Normal,0,japanese,donkatsu
15.011252975463867,7,High,0,chinese,black bean sauce noodle
9.503549480438233,0,No work,0,western,hotdog
14.713356399536133,0,No work,0,korean,cold noodles
11.678894233703616,8,Normal,0,korean,cold noodles
9.545247173309326,7,Normal,0,western,pasta
10.514605522155762,9,Low,0,chinese,black bean sauce noodle
11.48257827758789,6,Normal,0,chinese,fried rice
11.133360099792483,6,Normal,0,chinese,black bean sauce noodle
12.030632972717285,0,No work,0,korean,kimchi stew
9.243793487548828,0,No work,0,japanese,sushi
11.109079742431641,6,Normal,0,japanese,sushi
13.714903450012207,6,Low,0,chinese,fried rice
12.47238063812256,6,Low,0,chinese,hotpot(huoguo)
12.395391654968266,10,Normal,1,western,pasta
12.633967781066895,7,High,1,western,pizza
13.739359474182132,0,No work,0,western,pasta
11.48331527709961,0,No work,0,korean,cold noodles
10.62221088409424,6,Normal,0,western,hamburger
13.961674118041993,7,Low,0,japanese,sushi
11.668173408508304,6,Low,0,western,pasta
9.933747482299808,9,Low,0,western,hamburger
13.655112075805665,7,Normal,0,korean,bibimbap
9.402409172058103,0,No work,0,western,pasta
13.472183990478516,0,No work,0,korean,cold noodles
9.342874717712405,6,Low,0,japanese,donkatsu
20.623680114746094,6,Low,0,chinese,black bean sauce noodle
21.997044372558594,7,Low,0,korean,kimchi stew
17.58480796813965,7,Normal,1,western,pasta
19.480907440185547,6,Normal,0,korean,cold noodles
18.927095794677733,0,No work,0,western,pasta
19.96153182983399,0,No work,0,vietnam,banh mi thit
19.881251525878913,6,Normal,0,chinese,black bean sauce noodle
17.265644836425782,7,Normal,0,korean,kimchi stew
18.273727416992188,6,Normal,0,chinese,fried rice
17.791833877563477,6,Normal,0,korean,cold noodles
19.989999008178717,8,Normal,0,chinese,black bean sauce noodle
19.719014358520514,0,No work,0,western,fried chicken
18.74399490356445,0,No work,0,mexican,burrito
20.109780883789067,6,Normal,0,korean,soybean paste stew
21.171252441406256,6,Low,0,western,steak
16.8489013671875,6,Normal,0,korean,cold noodles
19.653629684448248,9,Normal,0,japanese,sushi
20.85829429626465,6,Normal,0,indian,curry rice
19.13604888916016,0,No work,0,indian,curry rice
