date,weather
2019-01-01,-5.0
2019-01-02,-4.9
2019-01-03,-3.5
2019-01-04,-1.1
2019-01-05,-2.8
2019-01-06,-2.8
2019-01-07,-1.9
2019-01-08,-3.5
2019-01-09,-4.7
2019-01-10,-0.6
2019-01-11,2.4
2019-01-12,2.8
2019-01-13,1.2
2019-01-14,1.4
2019-01-15,-1.7
2019-01-16,-5.2
2019-01-17,-0.3
2019-01-18,0.6
2019-01-19,3.6
2019-01-20,-1.4
2019-01-21,-1.2
2019-01-22,1.7
2019-01-23,2.0
2019-01-24,0.1
2019-01-25,-1.2
2019-01-26,-2.5
2019-01-27,-0.1
2019-01-28,1.2
2019-01-29,-0.2
2019-01-30,1.8
2019-01-31,-2.0
2019-02-01,-2.1
2019-02-02,1.4
2019-02-03,3.3
2019-02-04,-0.6
2019-02-05,2.8
2019-02-06,5.1
2019-02-07,-2.1
2019-02-08,-6.1
2019-02-09,-5.4
2019-02-10,-5.0
2019-02-11,-3.0
2019-02-12,-0.6
2019-02-13,-2.1
2019-02-14,-0.5
2019-02-15,-0.8
2019-02-16,-2.7
2019-02-17,-1.8
2019-02-18,0.9
2019-02-19,1.4
2019-02-20,1.7
2019-02-21,2.4
2019-02-22,4.0
2019-02-23,6.8
2019-02-24,6.3
2019-02-25,4.7
2019-02-26,5.2
2019-02-27,7.8
2019-02-28,7.7
2019-03-01,6.6
2019-03-02,7.8
2019-03-03,9.4
2019-03-04,9.9
2019-03-05,8.4
2019-03-06,8.4
2019-03-07,7.0
2019-03-08,6.1
2019-03-09,7.2
2019-03-10,10.1
2019-03-11,6.6
2019-03-12,3.9
2019-03-13,3.5
2019-03-14,5.0
2019-03-15,5.5
2019-03-16,4.3
2019-03-17,6.3
2019-03-18,7.1
2019-03-19,10.0
2019-03-20,10.3
2019-03-21,7.1
2019-03-22,3.3
2019-03-23,3.3
2019-03-24,4.3
2019-03-25,7.3
2019-03-26,11.4
2019-03-27,11.6
2019-03-28,9.4
2019-03-29,9.2
2019-03-30,5.2
2019-03-31,4.4
2019-04-01,5.5
2019-04-02,6.7
2019-04-03,7.6
2019-04-04,9.2
2019-04-05,11.4
2019-04-06,9.3
2019-04-07,12.6
2019-04-08,11.6
2019-04-09,9.2
2019-04-10,7.1
2019-04-11,9.5
2019-04-12,11.4
2019-04-13,11.8
2019-04-14,9.6
2019-04-15,11.6
2019-04-16,14.9
2019-04-17,15.3
2019-04-18,12.6
2019-04-19,13.8
2019-04-20,14.3
2019-04-21,14.8
2019-04-22,19.3
2019-04-23,20.4
2019-04-24,19.5
2019-04-25,13.2
2019-04-26,8.4
2019-04-27,11.6
2019-04-28,12.9
2019-04-29,13.0
2019-04-30,15.5
2019-05-01,16.4
2019-05-02,17.1
2019-05-03,17.9
2019-05-04,19.5
2019-05-05,19.2
2019-05-06,14.5
2019-05-07,15.0
2019-05-08,15.6
2019-05-09,16.6
2019-05-10,17.8
2019-05-11,20.3
2019-05-12,21.6
2019-05-13,18.7
2019-05-14,19.6
2019-05-15,20.7
2019-05-16,23.5
2019-05-17,23.6
2019-05-18,22.8
2019-05-19,19.4
2019-05-20,16.4
2019-05-21,17.2
2019-05-22,19.5
2019-05-23,22.1
2019-05-24,24.2
2019-05-25,23.4
2019-05-26,24.5
2019-05-27,17.8
2019-05-28,18.1
2019-05-29,20.3
2019-05-30,19.6
2019-05-31,19.1
2019-06-01,18.9
2019-06-02,21.1
2019-06-03,23.1
2019-06-04,22.6
2019-06-05,23.0
2019-06-06,21.2
2019-06-07,20.0
